Repository,Papers,Founded,Country,Current Status,Active duration,"Ownership (non-profit, private, institution, government)","Funding (private, advertising, institutional, government grants)",Type of platform (Referatory vs Repository),"Resources copyright (Proprietary, CC)","Resources access and use (OA, OER)","Open vs Closed (i.e., are the resources and interactions visible without an account)","Community-driven (i.e., can users contribute to the repository)",Community-building tools,Notes,Link
5Xgon,Otto and Kerres (2022),,,N/A,,,,,,,,,,,"Described as an OER network by authors - doesn't seem to exist"
Academic Earth,Gunarathne et al. (2020),2009,USA,Active,14,Private,"Advertising, partner institutions",Referatory (courses),N/A,OA,Open,No,None,,https://academicearth.org/
Agrega ,Zervas et al. (2014),2012,Spain,Discontinued 2022,10,Government ,EU grant,Repository (database),CC,OER,"Open, Account",No,"Comments, email, rating",Spanish,http://agrega.educacion.es/visualizadorcontenidos2/Portada/Portada.do
Applied Math and Science Education Repository (Amser),Zervas et al. (2014),2006,USA,Active,17,Institution,National Science Foundation,Referatory (database),N/A,OA,"Open, Account",No (but users can suggest a resource),"Suggest a resource, bulletins, share resources, comments, rating",,https://amser.org/
Ariadne I and II - European Knowledge Pool System,"McGreal (2008), Kallonis and Sampson (2010), Yalcinalp and Emiroglu (2012), Sicilia et al. (2013), Zervas et al. (2014), Clements et al. (2015), Zervas and Sampson (2017), Zervas and Sampson (2013)",2001,Norway / EU,Discontinued as a hub 2013,12,Government,Government,Referatory,N/A,N/A,N/A,N/A,N/A,,http://www.ariadne-eu.org/
AT&T Blue Web’n,McGreal (2008),1995,USA,Discontinued 2009-2011 (?),16,Private,Private,Referatory,N/A,N/A,Open,N/A,N/A,,http://www.kn.sbc.com/wired/bluewebn/
BCcampus (B.C. Open Collection),Cheung (2020),2002,Canada,Active,21,Government,Government,Repository,CC,OER,Open,No (but users can suggest a textbook),"Become a reviewer, report an error, subscribe to BCcampus newsletter",,https://bccampus.ca/
BELLE,Yalcinalp and Emiroglu (2012),2001,Canada,Discontinued 2004,3,Institution,Institution,N/A,N/A,N/A,N/A,N/A,N/A,Claims to be a repository,https://www.netera.ca/belle/
BiblioLab,Rocha et al. (2021),2020,Portugal,Active,3,Institution,Institution,N/A,N/A,N/A,N/A,N/A,N/A,Portuguese,https://bibliolab.pt
BildungsPool ,Zervas et al. (2014),2009,Austria,Discontinued 2018,9,Government,Government,N/A,N/A,N/A,"Open, Account",N/A,N/A,German,"http://bildungspool.bildung.at/Bildungspool/Bildungspool/start

"
BioDiTRL Biological Digital Teaching Resource Library,McGreal (2008),1994,Canada,Discontinued 2014,20,Institution,"Government, Institutional",N/A,N/A,N/A,"Open, Account",N/A,N/A,,http://bio-ditrl.sunsite.ualberta.ca/
BIOE ,Zervas et al. (2014),2008,Brazil,Discontinued 2022,14,Government,Government,Repository,CC,OA,"Open, Account",N/A,"Ranking, Social Networks",Brazil,http://objetoseducacionais2.mec.gov.br/
BIOsCIeDnET ,Zervas et al. (2014),2002,USA,Discontinued 2021,19,Non-Profit,"Private, Government",N/A,N/A,N/A,"Open/Closed, Account",N/A,User groups,,http://www.biosciednet.org/portal/index.php
CAREO: Campus Alberta Repository of Educational Objects,"McGreal (2008), Carrion (2010), Kallonis and Sampson (2010), Yalcinalp and Emiroglu (2012), Dagiene et al. (2018)",2002,Canada,Discontinued 2007,5,Institution,Institution,Repository,Proprietary,OA,Open,N/A,N/A,,http://careo.ucalgary.ca
China Open Resources for Education (CORE),Ang et al. (2020),2004,China,Discontinued 2013,9,Government,Government,N/A,CC,OA,N/A,N/A,N/A,China,http://www.core.org.cn
CITIDEL: Computing and Information Technology Interactive Digital Educational Library,McGreal (2008),2000,USA,Discontinued  2019,19,Institution,"Institution, Private",N/A,N/A,OA,"Open, Account",N/A,Community collections,,http://www.citidel.org/
CLILSTORE.EU,Dónaill (2022),2020,Denmark / EU,Active,3,Government,EU grant,Repository,CC,OER,"Open, Account",Yes,Likes,,https://clilstore.eu/
CLOE: Co-operative Learning Object Exchange,"Dagiene et al. (2018), Yalcinalp and Emiroglu (2012)",2002,Canada,Discontinued 2008,6,Institution,Institution,N/A,N/A,N/A,"Closed, Account",N/A,N/A,,http://lt3.uwaterloo.ca/CLOE/index.html
Commons,Perifanou and Economides (2022),2015,USA,Active,8,Private,Private,Repository,Proprietary,OA,"Open, Account",Yes,"Favourites, likes, reviews, question and answer forum, dicussion, blog, groups and hubs, connect with users, sharing resources (that you add)",,https://lor.instructure.com/
CommonSpaces,Ritella et al. (2017),2015,EU,Active,8,Institution,EU grant,Repository,CC,OER,"Open, Account",Yes,"Evaluations/reviews, comments, mentoring reach out names/roll (messages, with email notifications), forums for projects (membership), join a community (project list page)",,https://www.commonspaces.eu/
Commonwealth of Learning Object Repository (OAsis),"McGreal (2008), Dagiene et al. (2018)",2008/2019,Canada,Active,15,Government,Government,Repository,CC,OER,Open,No,None,,http://oasis.col.org/
COSMOS Portal,Kallonis and Sampson (2010),2009,German / EU,Discontinued 2015,6,Government,Government,N/A,N/A,N/A,"Closed, Account",N/A,N/A,German,http://www.cosmosportal.eu/
Curriki,"McGreal (2008), Zervas et al. (2014), Clements et al. (2015), Ang et al. (2020), Perifanou and Economides (2022)",2004,USA,"Active (Not open anymore, sign-in required, unsure how active)",19,Non-Profit,Private (sponsors and donations),N/A,N/A,N/A,N/A (Account for Currikistudio),N/A,"Technical working groups ('community'), other community 'coming soon'",,http://www.curriki.org/welcome/
Digital Scriptorium Columbia University,McGreal (2008),1996,USA,Discontinued 2015,19,Institution,Institution,N/A,N/A,N/A,N/A,N/A,N/A,,http://www.scriptorium.columbia.edu/
Discover The Cosmos ,Zervas et al. (2014),2012,EU / Greece,Active,11,Institution,EU grant,Repository,CC,OER,"Closed, Account",Yes,Star rating,,http://portal.discoverthecosmos.eu/en/repository
DLESE: Digital Library for Earth System Education,"McGreal (2008), Carrion (2010), Yalcinalp and Emiroglu (2012)",2003,USA,Discontinued 2019,16,Government,Government,N/A,N/A,OA,"Open, Account",N/A,Resource comments,,http://www.dlese.org/dds/histogram.do?group=subject
Docebo,Yalcinalp and Emiroglu (2012),2005,Italy,Active,18,Private,Private,N/A,N/A,N/A,N/A,N/A,N/A,"LMS sales, was never a repository",docebo.org
DOER,Perifanou and Economides (2022),2013,Canada,Discontinued 2022,9,Institution,Institution,Referatory,N/A,OA,"Open, Account",N/A,N/A,Claim is that they are all OER,http://doer.col.org/
